month,rain_days,rain_amount,humidity,sun_hrs,mean_temp
2014-07-01,15,148.6,78.3,5.5,28.7
2014-08-01,20,241.0,79.7,4.5,27.7
2014-09-01,9,83.6,75.6,7.0,28.5
2014-10-01,10,120.0,77.0,6.0,28.4
2014-11-01,23,250.8,82.4,5.4,27.5
2014-12-01,17,245.6,82.6,3.7,27.0
2015-01-01,6,79.6,77.6,7.4,26.9
2015-02-01,6,18.8,75.4,7.3,27.0
2015-03-01,5,84.4,75.8,7.3,28.2
2015-04-01,13,73.2,77.1,7.2,28.6
2015-05-01,12,89.0,78.9,5.8,28.7
2015-06-01,10,95.8,75.8,6.7,29.0
2015-07-01,13,116.8,74.9,7.1,29.1
2015-08-01,11,185.8,76.7,6.1,28.4
2015-09-01,8,61.6,75.0,4.3,28.7
2015-10-01,9,87.2,75.4,4.7,28.7
2015-11-01,13,72.6,79.1,4.8,28.0
2015-12-01,19,302.3,81.1,5.3,27.7
2016-01-01,15,126.6,79.6,7.2,28.3
2016-02-01,10,186.0,78.8,6.5,27.8
2016-03-01,6,6.2,74.7,8.0,29.0
2016-04-01,14,89.8,75.6,7.0,29.4
2016-05-01,12,193.8,77.4,6.2,29.3
2016-06-01,13,162.8,77.7,5.4,28.5
2016-07-01,20,168.6,77.3,6.3,28.4
2016-08-01,15,139.2,74.0,6.7,28.9
2016-09-01,15,118.9,73.9,5.5,28.3
2016-10-01,16,181.0,72.0,4.6,28.3
2016-11-01,20,290.2,77.6,3.5,27.4
2016-12-01,23,292.6,72.8,5.1,27.4
2017-01-01,21,197.6,84.8,4.8,26.9
2017-02-01,15,158.4,83.2,7.1,26.9
2017-03-01,11,136.2,82.5,6.1,27.4
2017-04-01,21,208.6,83.5,5.3,27.8
2017-05-01,15,190.0,82.8,5.9,28.5
2017-06-01,10,106.0,80.2,6.3,28.5
2017-07-01,9,79.6,79.6,7.0,28.3
2017-08-01,18,84.2,79.9,6.1,28.1
2017-09-01,19,124.4,81.0,5.7,28.0
2017-10-01,18,120.8,82.5,5.5,27.9
2017-11-01,24,268.6,86.3,4.2,27.1
2017-12-01,23,371.2,85.2,5.6,27.0
2018-01-01,25,287.0,86.6,4.1,26.1
2018-02-01,5,14.8,77.2,8.0,27.2
2018-03-01,10,44.6,78.4,6.4,28.0
2018-04-01,14,61.2,78.5,6.8,28.5
2018-05-01,19,132.2,79.0,5.8,28.7
2018-06-01,17,182.6,79.3,4.1,28.4
2018-07-01,10,143.2,77.7,6.1,28.5
2018-08-01,11,121.6,77.0,6.7,28.5
2018-09-01,13,144.4,77.1,6.0,28.0
2018-10-01,18,234.4,79.7,6.1,27.9
2018-11-01,27,169.6,83.2,3.8,27.3
2018-12-01,19,172.6,81.5,5.1,27.6
2019-01-01,9,63.6,75.6,7.1,28.0
2019-02-01,5,31.6,74.1,9.2,28.2
2019-03-01,6,72.2,72.3,8.3,28.7
2019-04-01,9,174.8,77.6,5.9,28.6
2019-05-01,13,69.0,79.2,7.0,29.3
2019-06-01,16,173.8,79.5,5.3,28.4
2019-07-01,8,12.2,75.2,7.5,29.0
2019-08-01,6,11.8,72.1,7.6,29.1
2019-09-01,4,22.8,73.0,6.7,29.0
2019-10-01,15,176.8,78.1,6.5,28.1
2019-11-01,15,137.4,79.2,5.5,28.0
2019-12-01,14,421.5,83.9,4.8,26.7
2020-01-01,6,88.4,77.9,7.1,27.7
2020-02-01,8,65.0,76.0,8.3,27.9
2020-03-01,8,108.8,75.2,7.6,28.6
2020-04-01,12,188.0,76.4,7.1,28.9
2020-05-01,16,255.6,79.1,5.7,28.9
2020-06-01,21,233.8,80.2,4.3,28.1
2020-07-01,22,140.8,78.2,5.7,27.9
2020-08-01,12,103.4,76.8,6.4,28.3
2020-09-01,18,150.2,79.0,4.8,27.5
2020-10-01,16,78.8,75.4,4.3,28.3
2020-11-01,19,220.6,81.7,4.0,27.2
2020-12-01,20,253.2,81.1,5.2,27.2
2021-01-01,17,692.8,82.6,4.2,26.0
2021-02-01,2,1.0,73.8,8.2,27.3
2021-03-01,14,182.4,76.6,7.3,27.9
2021-04-01,14,290.4,77.4,6.8,28.2
2021-05-01,13,245.8,79.3,6.0,28.7
2021-06-01,20,93.4,77.8,6.5,28.5
2021-07-01,12,195.8,76.5,6.8,28.6
2021-08-01,24,293.6,80.4,4.8,27.6
2021-09-01,14,205.4,77.3,6.4,28.3
2021-10-01,14,177.0,78.3,6.2,28.5
2021-11-01,23,312.4,81.7,4.9,27.6
2021-12-01,15,119.6,79.7,5.4,27.7
2022-01-01,9,99.8,77.4,8.3,27.4
2022-02-01,16,175.0,80.3,5.9,27.3
2022-03-01,21,163.2,79.2,6.4,28.1
2022-04-01,18,239.6,80.0,5.2,28.1
2022-05-01,12,102.0,76.5,6.7,29.2
2022-06-01,17,211.8,79.1,4.7,27.9
2022-07-01,16,145.2,76.8,6.2,28.6
2022-08-01,15,141.4,77.4,5.5,28.1
